original_subject_id	participant_id
CF1	sub-CF1
CF2	sub-CF2
CF4	sub-CF3
CF5	sub-CF4
CF6	sub-CF5
CF7	sub-CF6
CF8	sub-CF7
CF9	sub-CF8
CF10	sub-CF9
CF11	sub-CF10
CF12	sub-CF11
SF1	sub-SF1
SF2	sub-SF2
SF3	sub-SF3
SF4	sub-SF4
SF5	sub-SF5
SF6	sub-SF6
SF7	sub-SF7
SF8	sub-SF8
SF9	sub-SF9
SF11	sub-SF10
SF12	sub-SF11
SF13	sub-SF12
SF14	sub-SF13
SF15	sub-SF14
SF16	sub-SF15
SF17	sub-SF16
SF19	sub-SF17
SF21	sub-SF18
SF22	sub-SF19
SF23	sub-SF20
SF24	sub-SF21
